key	suite	cluster	model	ours	want	sameboy	provenance	bucket	evidence
gambatte/enable_display/frame0_m2stat_count_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	01	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame1_m0irq_count_scx2_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	00	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame1_m1stat_ds_2_cgb04c_out81.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	80	81	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame1_m2irq_count_ds_2_cgb04c_out91.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	00	91	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame1_m2stat_count_1_dmg08_cgb04c_out91.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	00	91	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/enable_display/frame1_m2stat_count_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	00	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_cgbpr_1_cgb04c_out55.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	FF	55	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_cgbpr_ds_1_cgb04c_out55.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	FF	55	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_cgbpw_1_cgb04c_outAA.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	55	AA	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_cgbpw_ds_1_cgb04c_outAA.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	55	AA	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_scx7_m3stat_scx1_2_dmg08_cgb04c_out84.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	87	84	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_scx7_m3stat_scx1_2_dmg08_cgb04c_out84.gbc [Dmg]	gambatte	gambatte/enable_display	Dmg	87	84	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_vramr_ds_2_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	55	FF	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/ly0_late_vramw_2_dmg08_out55_cgb04c_outAA.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	55	AA	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/late_m0int_halt_m0stat_scx3_2b_dmg08_cgb04c_out2.gbc [Dmg]	gambatte	gambatte/halt	Dmg	0	2	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/late_m0irq_halt_m0stat_scx3_2b_dmg08_cgb04c_out2.gbc [Dmg]	gambatte	gambatte/halt	Dmg	0	2	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/lycint_dmgpalette_during_m3_1.gb [Dmg]	gambatte	gambatte/halt	Dmg	572px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/halt/lycint_dmgpalette_during_m3_2.gb [Dmg]	gambatte	gambatte/halt	Dmg	572px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/halt/lycint_dmgpalette_during_m3_3.gb [Dmg]	gambatte	gambatte/halt	Dmg	858px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/halt/lycint_dmgpalette_during_m3_4.gb [Dmg]	gambatte	gambatte/halt	Dmg	1287px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/halt/m0int_m0stat_scx2_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/halt	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/m0int_m0stat_scx3_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/halt	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/m0irq_m0stat_scx2_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/halt	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/m0irq_m0stat_scx3_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/halt	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/halt/m1int_ly_2_dmg08_out90_cgb04c_out91.gbc [Cgb]	gambatte	gambatte/halt	Cgb	90	91	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset1_lyc8fint_m1stat_ds_1_cgb04c_outC0.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	C4	C0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset1_lyc98int_ly_count_1_cgb04c_out99.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	99	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset1_lyc98int_ly_count_2_cgb04c_out9A.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	99	9A	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset1_lyc98int_ly_count_ds_2_cgb04c_out9A.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	01	9A	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset1_lyc99int_m0stat_count_scx2_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset1_lyc99int_m0stat_count_scx3_1_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset1_lyc99int_m2irq_count_1_cgb04c_out98.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	01	98	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset1_lyc99int_m2irq_count_ds_1_cgb04c_out98.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	01	98	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset1_lyc99int_m2stat_count_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset2_lyc98int_ly_count_1_cgb04c_out99.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	99	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset2_lyc98int_ly_count_2_cgb04c_out9A.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	01	9A	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset2_lyc98int_ly_count_3_cgb04c_out9A.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	99	9A	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset2_lyc99int_m0stat_count_scx2_1_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset2_lyc99int_m2irq_count_1_cgb04c_out98.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	01	98	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lcd_offset/offset3_lyc8fint_m1stat_1_cgb04c_outC0.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	C4	C0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset3_lyc98int_ly_count_1_cgb04c_out99.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	98	99	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset3_lyc99int_m0stat_count_scx1_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset3_lyc99int_m2stat_count_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lcd_offset/offset3_lyc99int_m3stat_count_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/lcd_offset	Cgb	00	90	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/ly0/lycint152_ly0stat_2_dmg08_cgb04c_outC0.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	C1	C0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/ly0/lycint152_ly153_ds_1_cgb04c_out98.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	99	98	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/ly0/lycint152_ly153_ds_4_cgb04c_out99.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	00	99	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/ly0/lycint152_lyc0flag_4_dmg08_cgb04c_outC0.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	C4	C0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/ly0/lycint152_lyc0irq_late_retrigger_2_dmg08_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	E2	E0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/ly0/lycint152_lyc153flag_3_dmg08_cgb04c_outC1.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	C5	C1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/ly0/lycint152_lyc153irq_late_retrigger_2_dmg08_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/ly0	Cgb	E2	E0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lyc153int_m2irq/lyc153int_m2irq_ifw_1_dmg08_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/lyc153int_m2irq	Cgb	0	2	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/ff45_enable_weirdpoint_ds_2_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	3	1	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/ff45_enable_weirdpoint_ds_3_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	3	1	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/ff45_enable_weirdpoint_ds_lcdoffset1_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/ff45_enable_weirdpoint_ds_lcdoffset1_3_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	2	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/ff45_enable_weirdpoint_lcdoffset1_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	2	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/late_ff41_enable_ds_lcdoffset1_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/late_ff45_enable_ds_lcdoffset1_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lcdoff_lycirqen_4_dmg08_outE2_cgb04c_outE0.gbc [Dmg]	gambatte	gambatte/lycEnable	Dmg	E0	E2	FAIL	hw-capture:dmg08	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc0_m1disable_2_dmg08_outE2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc153_late_enable_m1disable_2_dmg08_outE2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc153_late_ff41_enable_ds_lcdoffset1_2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc153_late_ff45_enable_ds_2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/lyc153_late_ff45_enable_ds_3_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycEnable/lyc153_late_ff45_enable_ds_lcdoffset1_2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc153_late_m1disable_2_dmg08_outE2_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E2	E0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lyc_ff45_trigger_delay_2_dmg08_out0_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycEnable/lycwirq_trigger_ly00_stat50_ds_lcdoffset1_2_cgb04c_outE2.gbc [Cgb]	gambatte	gambatte/lycEnable	Cgb	E0	E2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/lycint_ly/lycint_ly_ds_1_cgb04c_out5.gbc [Cgb]	gambatte	gambatte/lycint_ly	Cgb	6	5	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/lycint_lycflag/lycint_lycflag_4_dmg08_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lycint_lycflag	Cgb	4	0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/disable_scx5_ds_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	1	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m0enable/enable_wxA6_2x_spxA7_ds_1_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/enable_wxA6_2x_spxA7_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/enable_wxA6_2x_spxA7_ds_3_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/enable_wxA6_2x_spxA7_ds_4_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/lycdisable_ff41_scx3_2_dmg08_out2_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/m0enable	Dmg	0	2	FAIL	hw-capture:dmg08	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/lycdisable_ff45_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/lycdisable_ff45_scx1_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/lycdisable_ff45_scx2_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0enable/lycdisable_ff45_scx3_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m0enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m0int_m0stat/m0int_m0stat_scx5_ds_2_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m0int_m0stat	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/ly143_late_m0enable_2_dmg08_out3_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/ly143_late_m2enable_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/m1	Cgb	1	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/ly143_late_m2enable_ds_lcdoffset1_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/m1	Cgb	1	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/lyc143_late_m2enable_lycdisable_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/m1	Cgb	1	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/lycint143_m1irq_late_retrigger_2_dmg08_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/lycint_vblankirq_late_retrigger_2_dmg08_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m1	Cgb	1	0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m1/m1irq_late_enable_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m1	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_late_enable_ds_lcdoffset1_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m1	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m0disable_2_dmg08_out3_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2disable_lycdisable_2_dmg08_out3_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2disable_lycdisable_3_dmg08_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2disable_lycdisable_3_dmg08_cgb04c_out1.gbc [Dmg]	gambatte	gambatte/m1	Dmg	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2disable_lycdisable_ds_2_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2enable_lyc_1_dmg08_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2enable_lyc_1_dmg08_cgb04c_out1.gbc [Dmg]	gambatte	gambatte/m1	Dmg	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2enable_lyc_2_dmg08_out1_cgb04c_out3.gbc [Dmg]	gambatte	gambatte/m1	Dmg	3	1	FAIL	hw-capture:dmg08	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m1irq_m2enable_lyc_ds_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m2m1irq_ifw_2_dmg08_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m2m1irq_ifw_2_dmg08_cgb04c_out1.gbc [Dmg]	gambatte	gambatte/m1	Dmg	3	1	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m1/m2m1irq_ifw_ds_2_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/m1	Cgb	3	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m2enable/late_enable_ly0_ds_1_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m2enable/late_enable_m1disable_ly0_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m2enable/late_enable_m1disable_ly0_ds_1_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m2enable/late_m1disable_ly0_2_dmg08_out2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m2enable/lyc1_late_m2enable_lycdisable_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	2	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m2enable/lyc1_late_m2enable_lycdisable_ds_3_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	0	2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/m2enable/lyc1_m2irq_late_lycdisable_ds_1_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/m2enable/m2_late_m0disable_ds_1_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/m2enable	Cgb	0	2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/miscmstatirq/lycstatwirq_trigger_ly00_10_50_1_dmg08_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/miscmstatirq	Cgb	E2	E0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/miscmstatirq/lycstatwirq_trigger_ly00_10_50_1_dmg08_cgb04c_outE0.gbc [Dmg]	gambatte	gambatte/miscmstatirq	Dmg	E2	E0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/miscmstatirq/lycstatwirq_trigger_ly00_10_50_ds_lcdoffset1_2_cgb04c_outE2.gbc [Cgb]	gambatte	gambatte/miscmstatirq	Cgb	E0	E2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/miscmstatirq/lycstatwirq_trigger_ly00_10_50_lcdoffset3_2_cgb04c_outE2.gbc [Cgb]	gambatte	gambatte/miscmstatirq	Cgb	E0	E2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/miscmstatirq/lycstatwirq_trigger_m0_late_ly44_lyc44_08_40_4_dmg08_cgb04c_outE0.gbc [Dmg]	gambatte	gambatte/miscmstatirq	Dmg	E2	E0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/miscmstatirq/m1statwirq_trigger_ly94_lyc94_40_50_ds_1_cgb04c_outE0.gbc [Cgb]	gambatte	gambatte/miscmstatirq	Cgb	E2	E0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/oam_access/prewrite_ds_lcdoffset1_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/oam_access	Cgb	0	1	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/oam_access/prewrite_lcdoffset1_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/oam_access	Cgb	0	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp00x_ds_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp00y_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp01x_ds_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp01y_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
